exp,tissue,rep,file,s3,url,biosamples,strain,sexes,age,submitted,spikeins,depleted,genome_annotation,assembly,output_type,read_length,batch,lab,normalisation,system
ENCSR000BYX,adrenal gland,1,ENCFF341NKU,https://encode-public.s3.amazonaws.com/2021/04/15/9ebbd96d-28d1-4b2d-aaf4-c7fabb461686/ENCFF341NKU.bigWig,https://www.encodeproject.org/files/ENCFF341NKU/@@download/ENCFF341NKU.bigWig,ENCBS244ENC;ENCBS245ENC,C57BL/6,unknown,2 months,2012-06-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,endocrine
ENCSR000BYX,adrenal gland,2,ENCFF850RDI,https://encode-public.s3.amazonaws.com/2021/04/15/484e4dee-3abf-4f2f-9cfa-6a1bd5a7336d/ENCFF850RDI.bigWig,https://www.encodeproject.org/files/ENCFF850RDI/@@download/ENCFF850RDI.bigWig,ENCBS244ENC;ENCBS245ENC,C57BL/6,unknown,2 months,2012-06-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,endocrine
ENCSR000BYP,colon,1,ENCFF085QPW,https://encode-public.s3.amazonaws.com/2021/04/15/05fcc0a0-bbdc-4bb1-8ead-0645f1318a2f/ENCFF085QPW.bigWig,https://www.encodeproject.org/files/ENCFF085QPW/@@download/ENCFF085QPW.bigWig,ENCBS256ENC;ENCBS257ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BYP,colon,2,ENCFF703ERP,https://encode-public.s3.amazonaws.com/2021/04/15/1881f963-bdad-4420-af1f-e5640d923624/ENCFF703ERP.bigWig,https://www.encodeproject.org/files/ENCFF703ERP/@@download/ENCFF703ERP.bigWig,ENCBS256ENC;ENCBS257ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BYY,duodenum,1,ENCFF721GSY,https://encode-public.s3.amazonaws.com/2021/04/15/d5d3a307-34f5-4820-8106-8cd53f773173/ENCFF721GSY.bigWig,https://www.encodeproject.org/files/ENCFF721GSY/@@download/ENCFF721GSY.bigWig,ENCBS260ENC;ENCBS261ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BYY,duodenum,2,ENCFF870YZN,https://encode-public.s3.amazonaws.com/2021/04/15/5d0dcd5f-fae2-43b6-8097-2f5b4f157a1b/ENCFF870YZN.bigWig,https://www.encodeproject.org/files/ENCFF870YZN/@@download/ENCFF870YZN.bigWig,ENCBS260ENC;ENCBS261ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BYZ,gonadal fat pad,1,ENCFF871LPW,https://encode-public.s3.amazonaws.com/2021/04/15/b73cb03d-fe49-4f32-b0d4-00b8ab2098e3/ENCFF871LPW.bigWig,https://www.encodeproject.org/files/ENCFF871LPW/@@download/ENCFF871LPW.bigWig,ENCBS264ENC;ENCBS265ENC,C57BL/6,mixed,2 months,2012-06-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,adipose
ENCSR000BYZ,gonadal fat pad,2,ENCFF734JPE,https://encode-public.s3.amazonaws.com/2021/04/15/fca2662a-6c9c-4068-8969-2e35947f92b3/ENCFF734JPE.bigWig,https://www.encodeproject.org/files/ENCFF734JPE/@@download/ENCFF734JPE.bigWig,ENCBS264ENC;ENCBS265ENC,C57BL/6,mixed,2 months,2012-06-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,adipose
ENCSR000BYQ,heart,1,ENCFF558JWN,https://encode-public.s3.amazonaws.com/2021/04/15/9304dd82-b322-42f4-83b2-9e46b59a9e83/ENCFF558JWN.bigWig,https://www.encodeproject.org/files/ENCFF558JWN/@@download/ENCFF558JWN.bigWig,ENCBS267ENC;ENCBS268ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,cardiovascular
ENCSR000BYQ,heart,2,ENCFF671TNT,https://encode-public.s3.amazonaws.com/2021/04/15/010879a5-7dcd-4d32-bbca-cb4bacc8b16b/ENCFF671TNT.bigWig,https://www.encodeproject.org/files/ENCFF671TNT/@@download/ENCFF671TNT.bigWig,ENCBS267ENC;ENCBS268ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,cardiovascular
ENCSR000BYR,kidney,1,ENCFF878WGQ,https://encode-public.s3.amazonaws.com/2021/04/15/eb2419a7-984d-42e9-ac12-f26cfd620cfd/ENCFF878WGQ.bigWig,https://www.encodeproject.org/files/ENCFF878WGQ/@@download/ENCFF878WGQ.bigWig,ENCBS269ENC;ENCBS270ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,renal
ENCSR000BYR,kidney,2,ENCFF127NND,https://encode-public.s3.amazonaws.com/2021/04/15/4cf78d20-6e71-4bbd-be73-97ce97b430d0/ENCFF127NND.bigWig,https://www.encodeproject.org/files/ENCFF127NND/@@download/ENCFF127NND.bigWig,ENCBS269ENC;ENCBS270ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,renal
ENCSR000BZA,large intestine,1,ENCFF708IGB,https://encode-public.s3.amazonaws.com/2021/04/15/847d0fdf-c23e-4594-8a14-31a798ce79a8/ENCFF708IGB.bigWig,https://www.encodeproject.org/files/ENCFF708IGB/@@download/ENCFF708IGB.bigWig,ENCBS273ENC;ENCBS274ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BZA,large intestine,2,ENCFF923EEV,https://encode-public.s3.amazonaws.com/2021/04/15/4c3bfd84-a491-4841-9932-fe85a83e3fa9/ENCFF923EEV.bigWig,https://www.encodeproject.org/files/ENCFF923EEV/@@download/ENCFF923EEV.bigWig,ENCBS273ENC;ENCBS274ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BYS,liver,1,ENCFF995EIJ,https://encode-public.s3.amazonaws.com/2021/04/15/a6eeb3c5-8ee3-4413-99a3-d13e3510c478/ENCFF995EIJ.bigWig,https://www.encodeproject.org/files/ENCFF995EIJ/@@download/ENCFF995EIJ.bigWig,ENCBS278ENC;ENCBS279ENC,C57BL/6,mixed,2 months,2012-06-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
